SNo,ObservationDate,Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
10914,2020-04-01 00:00:00,,India,2020-04-01 22:04:58,1998.0,58.0,148.0
11232,2020-04-02 00:00:00,,India,2020-04-02 08:53:00,2543.0,72.0,191.0
11552,2020-04-03 00:00:00,,India,2020-04-03 22:52:45,2567.0,72.0,192.0
11872,2020-04-04 00:00:00,,India,2020-04-04 09:38:00,3082.0,86.0,229.0
12193,2020-04-05 00:00:00,,India,2020-04-05 23:13:44,3588.0,99.0,229.0
12516,2020-04-06 00:00:00,,India,2020-04-06 09:37:00,4778.0,136.0,375.0
12840,2020-04-07 00:00:00,,India,2020-04-07 23:11:31,5311.0,150.0,421.0
13164,2020-04-08 00:00:00,,India,2020-04-08 22:59:00,5916.0,178.0,506.0
13488,2020-04-09 00:00:00,,India,2020-04-09 23:09:19,6725.0,226.0,620.0
13812,2020-04-10 00:00:00,,India,2020-04-10 23:01:43,7598.0,246.0,774.0
14137,2020-04-11 00:00:00,,India,2020-04-11 22:52:46,8446.0,288.0,969.0
14462,2020-04-12 00:00:00,,India,2020-04-12 23:25:00,9205.0,331.0,1080.0
14786,2020-04-13 00:00:00,,India,2020-04-13 23:15:42,10453.0,358.0,1181.0
15110,2020-04-14 00:00:00,,India,2020-04-14 23:41:11,11487.0,393.0,1359.0
15434,2020-04-15 00:00:00,,India,2020-04-15 23:04:26,12322.0,405.0,1432.0
15758,2020-04-16 00:00:00,,India,2020-04-16 23:38:19,13430.0,448.0,1768.0
16082,2020-04-17 00:00:00,,India,2020-04-17 23:38:48,14352.0,486.0,2041.0
16406,2020-04-18 00:00:00,,India,2020-04-18 22:40:18,15722.0,521.0,2463.0
16730,2020-04-19 00:00:00,,India,2020-04-19 23:49:05,17615.0,559.0,2854.0
17054,2020-04-20 00:00:00,,India,2020-04-20 23:44:50,18539.0,592.0,3273.0
17378,2020-04-21 00:00:00,,India,2020-04-21 23:39:09,20080.0,645.0,3975.0
17702,2020-04-22 00:00:00,,India,2020-04-22 23:38:57,21370.0,681.0,4370.0
18025,2020-04-23 00:00:00,,India,2020-04-24 03:31:35,23077.0,721.0,5012.0
